id,identifier,generation_id,type_id,power,pp,accuracy,priority,target_id,damage_class_id,effect_id,effect_chance,contest_type_id,contest_effect_id,super_contest_effect_id
1,pound,1,1,40,35,100,0,10,2,1,-127,5,1,5
2,karate-chop,1,2,50,25,100,0,10,2,44,-127,5,2,5
3,double-slap,1,1,15,10,85,0,10,2,30,-127,5,10,7
4,comet-punch,1,1,18,15,85,0,10,2,30,-127,5,12,7
5,mega-punch,1,1,80,20,85,0,10,2,1,-127,5,1,18
6,pay-day,1,1,40,20,100,0,10,2,35,-127,4,11,23
7,fire-punch,1,10,75,15,100,0,10,2,5,10,2,1,17
8,ice-punch,1,15,75,15,100,0,10,2,6,10,2,1,17
9,thunder-punch,1,13,75,15,100,0,10,2,7,10,1,1,17
10,scratch,1,1,40,35,100,0,10,2,1,-127,5,1,5
11,vice-grip,1,1,55,30,100,0,10,2,1,-127,5,1,5
12,guillotine,1,1,-127,5,30,0,10,2,39,-127,1,14,9
13,razor-wind,1,1,80,10,100,0,11,3,40,-127,1,2,6
14,swords-dance,1,1,-127,20,-127,0,7,1,51,-127,2,32,11
15,cut,1,1,50,30,95,0,10,2,1,-127,1,14,5
16,gust,1,3,40,35,100,0,10,3,150,-127,4,21,5
17,wing-attack,1,3,60,35,100,0,10,2,1,-127,1,12,5
18,whirlwind,1,1,-127,20,-127,-6,10,1,29,-127,4,21,9
19,fly,1,3,90,15,95,0,10,2,156,-127,4,15,6
20,bind,1,1,15,20,85,0,10,2,43,100,5,24,21
21,slam,1,1,80,20,75,0,10,2,1,-127,5,23,5
22,vine-whip,1,12,45,25,100,0,10,2,1,-127,1,1,5
23,stomp,1,1,65,20,100,0,10,2,151,30,5,4,5
24,double-kick,1,2,30,30,100,0,10,2,45,-127,1,12,7
25,mega-kick,1,1,120,5,75,0,10,2,1,-127,1,1,18
26,jump-kick,1,2,100,10,95,0,10,2,46,-127,1,3,5
27,rolling-kick,1,2,60,15,85,0,10,2,32,30,1,5,5
28,sand-attack,1,5,-127,15,100,0,10,1,24,-127,3,10,19
29,headbutt,1,1,70,15,100,0,10,2,32,30,5,9,5
30,horn-attack,1,1,65,25,100,0,10,2,1,-127,1,1,5
31,fury-attack,1,1,15,20,85,0,10,2,30,-127,1,10,7
32,horn-drill,1,1,-127,5,30,0,10,2,39,-127,1,14,9
33,tackle,1,1,40,35,100,0,10,2,1,-127,5,1,5
34,body-slam,1,1,85,15,100,0,10,2,7,30,5,4,5
35,wrap,1,1,15,20,90,0,10,2,43,100,5,24,21
36,take-down,1,1,90,20,85,0,10,2,49,-127,5,3,5
37,thrash,1,1,120,10,100,0,8,2,28,-127,5,6,7
